Class,MR,MutantType,Live,Killed,Score
MethodCollection2,aggregate,conditional,0,3,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,5,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,3,15,0.8333333333333334
MethodCollection2,aggregate,arithmetic,3,39,0.9285714285714286
MethodCollection2,aggregate,relational,2,18,0.9
MethodCollection2,aggregate,conditional,0,4,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,9,1.0
MethodCollection2,aggregate,assignment,0,6,1.0
MethodCollection2,aggregate,deletion,0,25,1.0
MethodCollection2,aggregate,arithmetic,0,10,1.0
MethodCollection2,aggregate,relational,3,8,0.7272727272727273
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,7,1.0
MethodCollection2,aggregate,arithmetic,2,24,0.9230769230769231
MethodCollection2,aggregate,relational,0,16,1.0
MethodCollection2,aggregate,conditional,0,3,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,3,11,0.7857142857142857
MethodCollection2,aggregate,arithmetic,0,9,1.0
MethodCollection2,aggregate,relational,0,4,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,2,1.0
MethodCollection2,aggregate,assignment,0,4,1.0
MethodCollection2,aggregate,deletion,0,8,1.0
MethodCollection2,aggregate,arithmetic,1,11,0.9166666666666666
MethodCollection2,aggregate,relational,0,4,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,2,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,2,4,0.6666666666666666
MethodCollection2,aggregate,arithmetic,0,12,1.0
MethodCollection2,aggregate,relational,1,10,0.9090909090909091
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,4,1.0
MethodCollection2,aggregate,arithmetic,0,10,1.0
MethodCollection2,aggregate,relational,2,9,0.8181818181818182
MethodCollection2,aggregate,conditional,0,2,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,3,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,5,1.0
MethodCollection2,aggregate,arithmetic,0,4,1.0
MethodCollection2,aggregate,relational,0,4,1.0
MethodCollection2,aggregate,conditional,0,1,1.0
MethodCollection2,aggregate,shift,0,0,NaN
MethodCollection2,aggregate,logical,0,1,1.0
MethodCollection2,aggregate,assignment,0,0,NaN
MethodCollection2,aggregate,deletion,0,2,1.0
MethodCollection2,aggregate,arithmetic,0,14,1.0
MethodCollection2,aggregate,relational,1,3,0.75
MethodCollection2,aggregate,conditional,0,1,1.0
