"","class","mr","run","AO_live","AO_killed","RO_live","RO_killed","CO_live","CO_killed","SO_live","SO_killed","LO_live","LO_killed","AS_live","AS_killed","DL_live","DL_killed","total_timeouts","total_exceptions","total_live","total_killed","error_score","mutant_score"
"174","MethodCollection2","aggregate",5,4,20,4,12,0,3,0,0,1,3,0,0,3,11,6,37,12,49,1.32432432432432,0.8
"175","MethodCollection2","aggregate",6,2,7,0,4,0,1,0,0,1,1,2,2,3,5,2,16,8,20,1.25,0.71
"176","MethodCollection2","aggregate",7,5,8,1,3,0,1,0,0,1,1,0,0,2,4,2,11,9,17,1.54545454545455,0.65
"177","MethodCollection2","aggregate",8,4,8,1,10,1,1,0,0,2,1,0,0,1,3,2,9,9,23,2.55555555555556,0.72
"178","MethodCollection2","aggregate",9,0,12,0,11,0,2,0,0,0,3,0,0,1,4,3,11,1,32,2.90909090909091,0.97
"179","MethodCollection2","aggregate",10,0,3,2,2,1,0,0,0,0,1,0,0,0,2,2,12,3,8,0.666666666666667,0.73
"180","MethodCollection2","aggregate",11,2,12,0,4,1,0,0,0,0,1,0,4,2,12,2,32,5,33,1.03125,0.87
"181","MethodCollection2","aggregate",12,4,6,1,3,0,1,0,0,0,1,0,4,3,5,2,18,8,20,1.11111111111111,0.71
"182","MethodCollection2","aggregate",13,1,6,0,4,0,1,0,0,0,1,2,2,0,8,2,17,3,22,1.29411764705882,0.88
"183","MethodCollection2","aggregate",14,2,10,1,3,0,1,0,0,0,2,0,4,2,5,3,9,5,25,2.77777777777778,0.83
"184","MethodCollection2","aggregate",15,1,11,3,8,0,2,0,0,0,3,0,0,0,5,4,11,4,29,2.63636363636364,0.88
"185","MethodCollection2","aggregate",16,5,22,6,5,1,1,0,0,0,3,0,0,6,20,8,26,18,51,1.96153846153846,0.74
"186","MethodCollection2","aggregate",17,15,51,0,8,1,1,0,0,0,4,0,0,6,24,6,22,22,88,4,0.8
"187","MethodCollection2","aggregate",18,5,15,3,13,1,2,0,0,0,4,0,0,4,10,10,27,13,44,1.62962962962963,0.77
"188","MethodCollection2","aggregate",19,5,5,0,4,0,1,0,0,0,3,1,1,0,6,3,12,6,20,1.66666666666667,0.77
"189","MethodCollection2","aggregate",20,1,15,1,3,0,1,0,0,0,3,0,2,3,7,3,17,5,31,1.82352941176471,0.86
"190","MethodCollection2","aggregate",21,7,50,2,21,0,4,0,0,0,8,0,0,8,29,11,47,17,112,2.38297872340426,0.87
"191","MethodCollection2","aggregate",22,1,2,1,4,0,1,0,0,0,1,0,0,1,3,0,14,3,11,0.785714285714286,0.79
"192","MethodCollection2","aggregate",23,3,19,1,3,0,1,0,0,0,1,2,6,2,12,3,19,8,42,2.21052631578947,0.84
"193","MethodCollection2","aggregate",24,1,9,0,11,0,2,0,0,1,2,0,0,1,5,3,9,3,29,3.22222222222222,0.91
"194","MethodCollection2","aggregate",25,6,15,2,16,0,3,0,0,0,5,0,0,1,7,4,23,9,46,2,0.84
"195","MethodCollection2","aggregate",26,1,4,3,8,0,2,0,0,1,0,0,0,1,4,5,25,6,18,0.72,0.75
"196","MethodCollection2","aggregate",27,0,6,0,11,0,2,0,0,0,2,0,0,0,5,5,23,0,26,1.1304347826087,1
"197","MethodCollection2","aggregate",28,0,6,0,11,0,2,0,0,0,2,0,0,1,5,3,9,1,26,2.88888888888889,0.96
"198","MethodCollection2","aggregate",29,1,5,3,8,1,1,0,0,0,2,0,0,2,4,3,9,7,20,2.22222222222222,0.74
"199","MethodCollection2","aggregate",30,1,5,0,11,0,2,0,0,0,2,0,0,3,3,3,14,4,23,1.64285714285714,0.85
"200","MethodCollection2","aggregate",1,0,5,0,4,0,1,0,0,0,2,0,2,0,4,3,12,0,18,1.5,1
"201","MethodCollection2","aggregate",2,1,28,3,13,0,3,0,0,0,4,0,0,2,16,7,32,6,64,2,0.91
"202","MethodCollection2","aggregate",3,4,39,3,16,1,3,0,0,0,8,0,6,2,22,16,47,10,94,2,0.9
"203","MethodCollection2","aggregate",4,1,9,1,10,0,2,0,0,0,3,0,0,0,6,1,9,2,30,3.33333333333333,0.94
