"","class","mr","run","AO_live","AO_killed","RO_live","RO_killed","CO_live","CO_killed","SO_live","SO_killed","LO_live","LO_killed","AS_live","AS_killed","DL_live","DL_killed","total_timeouts","total_exceptions","total_live","total_killed","error_score","mutant_score"
"192","MethodCollection2","add",23,3,19,1,3,0,1,0,0,0,1,2,6,2,12,3,19,8,42,2.21052631578947,0.84
"193","MethodCollection2","add",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"194","MethodCollection2","add",25,6,15,2,16,0,3,0,0,0,5,0,0,1,7,4,18,9,46,2.55555555555556,0.84
"195","MethodCollection2","add",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"196","MethodCollection2","add",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"197","MethodCollection2","add",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"198","MethodCollection2","add",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"199","MethodCollection2","add",30,1,5,0,11,0,2,0,0,0,2,0,0,3,3,3,12,4,23,1.91666666666667,0.85
"200","MethodCollection2","add",1,0,5,0,4,0,1,0,0,0,2,0,2,0,4,3,9,0,18,2,1
"201","MethodCollection2","add",2,1,28,3,13,0,3,0,0,0,4,0,0,2,16,7,32,6,64,2,0.91
"202","MethodCollection2","add",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"203","MethodCollection2","add",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"204","MethodCollection2","add",5,0,25,1,15,0,3,0,0,0,3,0,0,1,13,7,36,2,59,1.63888888888889,0.97
"205","MethodCollection2","add",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"206","MethodCollection2","add",7,3,8,0,4,0,1,0,0,1,1,0,0,2,4,2,13,6,18,1.38461538461538,0.75
"207","MethodCollection2","add",8,1,11,2,9,0,2,0,0,0,3,0,0,0,4,1,10,3,29,2.9,0.91
"208","MethodCollection2","add",9,0,12,1,10,1,1,0,0,1,2,0,0,0,5,3,8,3,30,3.75,0.91
"209","MethodCollection2","add",10,0,3,1,3,0,1,0,0,0,1,0,0,0,2,2,12,1,10,0.833333333333333,0.91
"210","MethodCollection2","add",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"211","MethodCollection2","add",12,0,10,1,3,0,1,0,0,0,1,0,4,0,8,2,15,1,27,1.8,0.96
"212","MethodCollection2","add",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"213","MethodCollection2","add",14,0,11,0,4,0,1,0,0,0,2,1,3,1,6,3,10,2,27,2.7,0.93
"214","MethodCollection2","add",15,0,12,0,11,0,2,0,0,0,3,0,0,0,5,4,10,0,33,3.3,1
"215","MethodCollection2","add",16,1,25,1,10,0,2,0,0,1,2,0,0,0,26,6,20,3,65,3.25,0.96
"216","MethodCollection2","add",17,2,66,0,8,0,2,0,0,0,4,0,0,3,27,6,20,5,107,5.35,0.96
"217","MethodCollection2","add",18,0,21,3,13,0,3,0,0,0,4,0,0,1,12,9,28,4,53,1.89285714285714,0.93
"218","MethodCollection2","add",19,2,8,0,4,0,1,0,0,0,3,0,2,0,6,3,10,2,24,2.4,0.92
"219","MethodCollection2","add",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"220","MethodCollection2","add",21,7,47,2,21,0,4,0,0,0,8,0,0,0,36,11,47,9,116,2.46808510638298,0.93
"221","MethodCollection2","add",22,0,3,2,3,0,1,0,0,0,1,0,0,0,4,0,14,2,12,0.857142857142857,0.86
"222","MethodCollection2","add",23,3,20,0,4,0,1,0,0,0,1,0,8,2,12,3,18,5,46,2.55555555555556,0.9
"223","MethodCollection2","add",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
